do_region_id,short_tip,med_tip,long_tip,max_tip,max_bin,is_statistically_significant,has_rejected_null_hyp,DOLocationID,Borough,Zone,service_zone
74,2.0658537965102384,4.475603898635478,5.832397660818714,5.832397660818714,long,True,True,74,Manhattan,East Harlem North,Boro Zone
237,2.4067838095415652,8.625339062901523,12.356208238728511,12.356208238728511,long,True,True,237,Manhattan,Upper East Side South,Yellow Zone
261,2.776232984255485,5.863819799840782,11.251107623318386,11.251107623318386,long,True,True,261,Manhattan,World Trade Center,Yellow Zone
141,2.4529169004144125,8.013123408260437,12.242172847073247,12.242172847073247,long,True,True,141,Manhattan,Lenox Hill West,Yellow Zone
140,2.545463757319238,6.770104601125456,11.565920550038198,11.565920550038198,long,True,True,140,Manhattan,Lenox Hill East,Yellow Zone
262,2.708893590127399,7.867289426751594,12.02178761061947,12.02178761061947,long,True,True,262,Manhattan,Yorkville East,Yellow Zone
231,2.8715381557616464,6.686735951264256,12.212415475775531,12.212415475775531,long,True,True,231,Manhattan,TriBeCa/Civic Center,Yellow Zone
162,2.4706800275938376,8.799888525661984,10.49151439299124,10.49151439299124,long,True,True,162,Manhattan,Midtown East,Yellow Zone
87,2.857048444133341,6.018915304864283,11.303092228464418,11.303092228464418,long,True,True,87,Manhattan,Financial District North,Yellow Zone
263,2.579391206394998,7.489701404383778,12.10288732394366,12.10288732394366,long,True,True,263,Manhattan,Yorkville West,Yellow Zone
79,2.5365238911904546,8.220420821493153,11.57353057199211,11.57353057199211,long,True,True,79,Manhattan,East Village,Yellow Zone
235,0.23363391655450874,1.6360579168612799,2.4446920821114366,2.4446920821114366,long,True,True,235,Bronx,University Heights/Morris Heights,Boro Zone
62,1.292111334002006,5.476227822352809,6.505000000000001,6.505000000000001,long,True,True,62,Brooklyn,Crown Heights South,Boro Zone
246,2.6245131827300896,7.962637589788641,10.552773109243699,10.552773109243699,long,True,True,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
144,2.6952807563402486,7.624176990323033,10.155775862068966,10.155775862068966,long,True,True,144,Manhattan,Little Italy/NoLiTa,Yellow Zone
152,1.9328792724365385,4.706453583804486,7.372435233160621,7.372435233160621,long,True,True,152,Manhattan,Manhattanville,Boro Zone
163,2.506140314676296,9.667023473658977,10.624473229706389,10.624473229706389,long,True,True,163,Manhattan,Midtown North,Yellow Zone
48,2.420593306021426,8.644222349929471,9.338228180862249,9.338228180862249,long,True,True,48,Manhattan,Clinton East,Yellow Zone
161,2.481357124689501,9.407942876056767,11.269926035502959,11.269926035502959,long,True,True,161,Manhattan,Midtown Center,Yellow Zone
170,2.4342208347058105,8.69993479704926,9.53525,9.53525,long,True,True,170,Manhattan,Murray Hill,Yellow Zone
234,2.5038889865162366,9.435111678366304,11.573660130718954,11.573660130718954,long,True,True,234,Manhattan,Union Sq,Yellow Zone
75,2.1637637463779726,5.3996771955329415,5.842173913043479,5.842173913043479,long,False,False,75,Manhattan,East Harlem South,Boro Zone
236,2.5356795859938037,8.165498366167387,12.54514937533949,12.54514937533949,long,True,True,236,Manhattan,Upper East Side North,Yellow Zone
137,2.2915249411729217,6.43569125047346,7.439682539682539,7.439682539682539,long,False,False,137,Manhattan,Kips Bay,Yellow Zone
239,2.678634277084235,7.75983882402987,12.759592763724644,12.759592763724644,long,True,True,239,Manhattan,Upper West Side South,Yellow Zone
36,2.019199203187251,6.302693985665317,8.015909090909092,8.015909090909092,long,False,False,36,Brooklyn,Bushwick North,Boro Zone
