region_id,short_tip,med_tip,long_tip,max_tip,max_bin,is_statistically_significant,has_rejected_null_hyp,PULocationID,Borough,Zone,service_zone
262,2.3818470086123145,6.102330281568492,15.238123456790126,15.238123456790126,long,True,True,262,Manhattan,Yorkville East,Yellow Zone
229,2.458354738586242,6.564704907997552,12.844468749999999,12.844468749999999,long,True,True,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
45,2.387235965561572,4.858323898936904,7.23,7.23,long,False,False,45,Manhattan,Chinatown,Yellow Zone
237,2.4349691911946563,6.941720000872544,14.026856435643564,14.026856435643564,long,True,True,237,Manhattan,Upper East Side South,Yellow Zone
137,2.3089651366352575,4.604093810713294,8.757487922705314,8.757487922705314,long,False,False,137,Manhattan,Kips Bay,Yellow Zone
68,2.8265605298362293,6.8868033789249905,12.504158607350096,12.504158607350096,long,False,False,68,Manhattan,East Chelsea,Yellow Zone
170,2.5933071774675494,7.304935184856341,13.530155688622754,13.530155688622754,long,True,True,170,Manhattan,Murray Hill,Yellow Zone
107,2.5143289267880107,6.588676939426142,14.151883289124669,14.151883289124669,long,True,True,107,Manhattan,Gramercy,Yellow Zone
239,2.53149416347745,6.773328658979952,13.312937285644292,13.312937285644292,long,True,True,239,Manhattan,Upper West Side South,Yellow Zone
234,2.6402353478946257,6.903651442519777,14.621212121212121,14.621212121212121,long,True,True,234,Manhattan,Union Sq,Yellow Zone
141,2.3569981188833298,6.040410609291207,12.59288888888889,12.59288888888889,long,True,True,141,Manhattan,Lenox Hill West,Yellow Zone
132,2.143029508196722,8.889484619995866,11.832670159420045,11.832670159420045,long,True,True,132,Queens,JFK Airport,Airports
24,2.3117612651646446,5.560047900367237,14.796477987421385,14.796477987421385,long,True,True,24,Manhattan,Bloomingdale,Yellow Zone
140,2.5073447029731213,5.414613867653504,11.710493421052632,11.710493421052632,long,True,True,140,Manhattan,Lenox Hill East,Yellow Zone
246,2.7395135886648956,6.683849749457781,13.334484412470022,13.334484412470022,long,True,True,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
162,2.6631117140876492,7.651991362023754,14.281335289801907,14.281335289801907,long,True,True,162,Manhattan,Midtown East,Yellow Zone
224,2.074276082200624,5.363859174001354,12.095,12.095,long,True,True,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
249,2.6786950640616407,6.004688530456788,14.335083798882682,14.335083798882682,long,True,True,249,Manhattan,West Village,Yellow Zone
236,2.477107770420955,6.65506867915617,14.379435028248587,14.379435028248587,long,True,True,236,Manhattan,Upper East Side North,Yellow Zone
87,2.8337637779846174,5.498066751732594,12.34623355263158,12.34623355263158,long,True,True,87,Manhattan,Financial District North,Yellow Zone
148,2.596561598929427,5.467663995612565,12.856320224719102,12.856320224719102,long,False,False,148,Manhattan,Lower East Side,Yellow Zone
142,2.5502728257758522,7.005624173113578,12.548061312607945,12.548061312607945,long,True,True,142,Manhattan,Lincoln Square East,Yellow Zone
263,2.3068937050897436,5.7430769872847165,13.120094117647058,13.120094117647058,long,False,False,263,Manhattan,Yorkville West,Yellow Zone
238,2.428097396939838,6.2640066028392205,13.183263736263736,13.183263736263736,long,True,True,238,Manhattan,Upper West Side North,Yellow Zone
151,2.267716643487465,5.767842339724966,13.80592409240924,13.80592409240924,long,True,True,151,Manhattan,Manhattan Valley,Yellow Zone
100,2.394202440112715,6.796590541970701,10.994160982264665,10.994160982264665,long,False,False,100,Manhattan,Garment District,Yellow Zone
43,2.6204950925725896,6.812984011122698,13.003364737550472,13.003364737550472,long,True,True,43,Manhattan,Central Park,Yellow Zone
125,2.669312826260064,6.951331491235644,12.302843450479234,12.302843450479234,long,True,True,125,Manhattan,Hudson Sq,Yellow Zone
114,2.651429555371122,5.74344559904711,14.686446700507615,14.686446700507615,long,True,True,114,Manhattan,Greenwich Village South,Yellow Zone
90,2.537759311470545,7.1487561562249455,13.159668508287291,13.159668508287291,long,True,True,90,Manhattan,Flatiron,Yellow Zone
41,1.4445346911740355,3.422586698337293,9.482445652173913,9.482445652173913,long,True,True,41,Manhattan,Central Harlem,Boro Zone
138,3.04345882714508,9.140931809209711,15.888802330599912,15.888802330599912,long,True,True,138,Queens,LaGuardia Airport,Airports
161,2.6533667871127884,8.192636795440151,14.26423282442748,14.26423282442748,long,True,True,161,Manhattan,Midtown Center,Yellow Zone
144,2.6042146001448763,5.596470120788303,11.143478260869566,11.143478260869566,long,False,False,144,Manhattan,Little Italy/NoLiTa,Yellow Zone
230,2.54849515417953,8.177020099883938,12.711639295312033,12.711639295312033,long,True,True,230,Manhattan,Times Sq/Theatre District,Yellow Zone
163,2.593088219058958,8.139927850173978,14.765507633587788,14.765507633587788,long,True,True,163,Manhattan,Midtown North,Yellow Zone
164,2.5087922003009715,7.515441062939336,15.171960199004975,15.171960199004975,long,True,True,164,Manhattan,Midtown South,Yellow Zone
48,2.4384582991741057,6.588476701003209,11.147697466467958,11.147697466467958,long,False,False,48,Manhattan,Clinton East,Yellow Zone
50,2.3021670985959077,5.756344186772859,8.85025041736227,8.85025041736227,long,True,True,50,Manhattan,Clinton West,Yellow Zone
231,2.739548412893213,5.901400483792936,12.914138888888889,12.914138888888889,long,True,True,231,Manhattan,TriBeCa/Civic Center,Yellow Zone
79,2.544590782114229,5.710617994679228,12.206472222222223,12.206472222222223,long,True,True,79,Manhattan,East Village,Yellow Zone
143,2.3574225748766815,5.969221986995311,12.769335727109516,12.769335727109516,long,True,True,143,Manhattan,Lincoln Square West,Yellow Zone
