region_id,short_tip_percent,med_tip_percent,long_tip_percent,max_tip_percent,max_bin,is_statistically_significant,has_rejected_null_hyp,DOLocationID,Borough,Zone,service_zone
74,0.09889123569307896,0.06956677995764611,0.07083749259825245,0.09889123569307896,short,False,False,74,Manhattan,East Harlem North,Boro Zone
237,inf,0.26405841343551173,0.16863559055427788,inf,short,False,False,237,Manhattan,Upper East Side South,Yellow Zone
261,inf,0.15204781357177233,0.15137375760519917,inf,short,True,True,261,Manhattan,World Trade Center,Yellow Zone
141,inf,0.1582156148729612,0.15871042678908298,inf,short,False,False,141,Manhattan,Lenox Hill West,Yellow Zone
140,inf,0.14799767006002537,0.135940350541499,inf,short,True,True,140,Manhattan,Lenox Hill East,Yellow Zone
262,0.20556212182167558,0.16550340529724863,0.15937009208457978,0.20556212182167558,short,False,False,262,Manhattan,Yorkville East,Yellow Zone
231,0.20247204666813445,inf,inf,inf,medium,False,False,231,Manhattan,TriBeCa/Civic Center,Yellow Zone
162,inf,0.1775995444678142,0.14345317679644415,inf,short,True,True,162,Manhattan,Midtown East,Yellow Zone
87,inf,0.1529159383486239,0.17859529123619663,inf,short,False,False,87,Manhattan,Financial District North,Yellow Zone
263,0.2143373665254613,0.15620554678705764,0.1452826371366273,0.2143373665254613,short,True,True,263,Manhattan,Yorkville West,Yellow Zone
79,inf,0.15665477784727072,0.1273033574414291,inf,short,False,False,79,Manhattan,East Village,Yellow Zone
235,0.005021639221392832,0.005483413618578148,0.002733998648273571,0.005483413618578148,medium,True,True,235,Bronx,University Heights/Morris Heights,Boro Zone
62,0.0200335178511437,0.028895033594457754,0.036251780220843154,0.036251780220843154,long,False,False,62,Brooklyn,Crown Heights South,Boro Zone
246,0.19761616537998639,0.16212818006915855,0.13613712396573913,0.19761616537998639,short,True,True,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
144,inf,0.14879289840836993,0.12592269191969058,inf,short,True,True,144,Manhattan,Little Italy/NoLiTa,Yellow Zone
152,0.10240956287721857,0.08446811308615795,0.1101094195469773,0.1101094195469773,long,False,False,152,Manhattan,Manhattanville,Boro Zone
163,0.2084998207061874,inf,0.15461042821203314,inf,medium,False,False,163,Manhattan,Midtown North,Yellow Zone
48,inf,inf,0.11488780765956,inf,short,True,True,48,Manhattan,Clinton East,Yellow Zone
161,inf,0.17539374980182776,0.14512588896010234,inf,short,True,True,161,Manhattan,Midtown Center,Yellow Zone
170,inf,inf,0.12410927813650723,inf,short,False,False,170,Manhattan,Murray Hill,Yellow Zone
234,0.21314355890288922,0.16792112576498866,0.15082672141186285,0.21314355890288922,short,False,False,234,Manhattan,Union Sq,Yellow Zone
75,0.15209525079006098,inf,0.06631318052853528,inf,medium,True,True,75,Manhattan,East Harlem South,Boro Zone
236,0.21920054597501876,0.16970088565065794,0.15832414004034284,0.21920054597501876,short,False,False,236,Manhattan,Upper East Side North,Yellow Zone
137,0.19601800309510947,0.12716150867615408,inf,inf,long,True,True,137,Manhattan,Kips Bay,Yellow Zone
166,0.17311677189868957,0.1397331789049958,0.15404971089984246,0.17311677189868957,short,False,False,166,Manhattan,Morningside Heights,Boro Zone
232,0.1473653501918313,0.10570374628551091,0.08700336066909128,0.1473653501918313,short,False,False,232,Manhattan,Two Bridges/Seward Park,Yellow Zone
145,0.12789495754399696,0.09591489290171423,0.0799855959468559,0.12789495754399696,short,False,False,145,Queens,Long Island City/Hunters Point,Boro Zone
132,inf,inf,inf,inf,short,True,True,132,Queens,JFK Airport,Airports
164,inf,inf,0.15452637466677743,inf,short,False,False,164,Manhattan,Midtown South,Yellow Zone
233,inf,0.1671852594518153,0.1432643867864081,inf,short,True,True,233,Manhattan,UN/Turtle Bay South,Yellow Zone
230,inf,inf,inf,inf,short,False,False,230,Manhattan,Times Sq/Theatre District,Yellow Zone
238,inf,0.160145893009477,0.17201168847019782,inf,short,True,True,238,Manhattan,Upper West Side North,Yellow Zone
209,0.18093905271816943,0.14989550004904872,0.1465551342915928,0.18093905271816943,short,True,True,209,Manhattan,Seaport,Yellow Zone
42,0.05601088880733446,0.04363843913657585,0.04742700925573487,0.05601088880733446,short,True,True,42,Manhattan,Central Harlem North,Boro Zone
45,0.16591101591962779,0.12423565062606504,0.08715612968058035,0.16591101591962779,short,False,False,45,Manhattan,Chinatown,Yellow Zone
244,0.07662309543414686,0.0828431228625404,0.19708809341373773,0.19708809341373773,long,False,False,244,Manhattan,Washington Heights South,Boro Zone
113,inf,0.16782022726336634,0.15582304884408654,inf,short,True,True,113,Manhattan,Greenwich Village North,Yellow Zone
88,0.17298916564715944,0.14226554944169117,0.14364855692001585,0.17298916564715944,short,False,False,88,Manhattan,Financial District South,Yellow Zone
142,0.21805544600539664,0.1669767079436892,0.16445515158581722,0.21805544600539664,short,False,False,142,Manhattan,Lincoln Square East,Yellow Zone
224,0.1598821198579317,0.1424077847374723,0.13413036009382867,0.1598821198579317,short,False,False,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
114,0.20770105961795912,0.1597732492336056,0.13812652848206347,0.20770105961795912,short,True,True,114,Manhattan,Greenwich Village South,Yellow Zone
12,0.16211481088678423,0.1335279530249107,0.14881231979317583,0.16211481088678423,short,False,False,12,Manhattan,Battery Park,Yellow Zone
151,0.18955316304752667,0.15078459446524253,0.16726755751010858,0.18955316304752667,short,False,False,151,Manhattan,Manhattan Valley,Yellow Zone
13,0.19568820910107174,0.16735012648772785,0.174763926736878,0.19568820910107174,short,True,True,13,Manhattan,Battery Park City,Yellow Zone
